"cdlinha","cdlinhapai","nulinha","deorigem","dedestino","dedescricao","slic","nupermissionarios","delinhaoutorga","delinhaservico","declassificacaoveiculo","derazaosocial","decnpjmatriz","boativo"
1299,,"611",ITABUNA,IBIRATAIA,"611 - ITABUNA - IBIRATAIA VIA BANCO CENTRAL",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1527,,"831.URB",CANDEIAS,MADRE DE DEUS,"831.URB - CANDEIAS - MADRE DE DEUS VIA MATARIPE",,,AUTORIZAÇÃO,CONTRATADO,SEMIURBANO,ALAGOINHAS TRANSPORTES PÚBLICOS  EIRELI,"14075158000135",true
353,,"152",SALVADOR,SÃO FÉLIX,"152 - SALVADOR - SÃO FÉLIX VIA SANTO AMARO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
1173,,"559X",GUARATINGA,BELMONTE,"559X - GUARATINGA - BELMONTE VIA SANTA CRUZ CABRÁLIA",,,CONTRATO DE CONCESSÃO - TAC,CONTRATADO - TAC,COMERCIAL,EXPRESSO BRASILEIRO TRANSPORTES LTDA,"13406285000107",true
840,,"371",ILHÉUS,BARREIRAS,"371 - ILHÉUS - BARREIRAS VIA BRUMADO / MACAÚBAS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1053,,"498A",JACOBINA,BAIXA GRANDE,"498A - JACOBINA - BAIXA GRANDE VIA MAIRI",,,CONTRATO DE CONCESSÃO,ADICIONAL,COMERCIAL,TRANSOARES TRANSPORTES URBANOS LTDA,"01125308000126",true
859,,"382X",JEQUIÉ,GANDU,"382X - JEQUIÉ - GANDU via IPIAÚ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
200,,"085.EXE",SALVADOR,FEIRA DE SANTANA,"085.EXE - SALVADOR - FEIRA DE SANTANA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
459,,"197A2.EXE",ILHÉUS,PORTO SEGURO,"197A2.EXE - ILHÉUS - PORTO SEGURO VIA ITABUNA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,EXECUTIVO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1242,,"588E",FEIRA DE SANTANA,PÉ DE SERRA,"588E - FEIRA DE SANTANA - PÉ DE SERRA",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,MATHEUS SANTOS E CIA LTDAS,"16096166000193",true
1451,,"783.URB",IRECÊ,LAJEDINHO (POV LAPÃO),"783.URB - IRECÊ - LAJEDINHO (POV LAPÃO) VIA LAPÃO",,,CONTRATO DE CONCESSÃO,CONTRATADO,COMERCIAL,SATURNINO TURISMO LTDA,"01001266000111",true
1084,,"517.CAR",SALVADOR,TAPIRAMUTÁ,"517.CAR - SALVADOR - TAPIRAMUTÁ",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,VIAÇÃO JEQUIE CIDADE SOL LTDA,"14602189000105",true
461,,"197X.CAR",ITACARÉ,PORTO SEGURO,"197X.CAR - ITACARÉ - PORTO SEGURO",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL COM AR-CONDICIONADO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1371,,"657R2",CRISTÓPOLIS,LUÍS EDUARDO MAGALHÃES,"657R2 - CRISTÓPOLIS - LUÍS EDUARDO MAGALHÃES",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,COMERCIAL,VIAÇÃO NOVO HORIZONTE LTDA,"60829264000184",true
1307,,"616.URB",CAMACAN,SANTA LUZIA,"616.URB - CAMACAN - SANTA LUZIA VIA VARGITO",,,CONTRATO DE CONCESSÃO,DIFERENCIADO,SEMIURBANO,A FURLAN EIRELI,"13558887000180",true
597,,"248.URBAR",ITABUNA,ILHÉUS,"248.URBAR - ITABUNA - ILHÉUS",,,CONTRATO DE CONCESSÃO,CONTRATADO - TAC,SEMIURBANO,ROTA TRANSPORTES RODOVIARIOS LTDA,"14492342000180",true
1563,,"845I.URB",CAMAÇARI,NOVA DIAS D'ÁVILA,"845I.URB - CAMAÇARI - NOVA DIAS D'ÁVILA VIA PÓLO PETROQUÍMICO/FORD",,,CONTRATO DE CONCESSÃO,ADICIONAL,SEMIURBANO,UNIVALE TRANSPORTES LTDA,"65107971000180",true
