"cdlinhaquadrohorario","cdlinha","cdlinhaquadrohorariohora","desentido","dediasemana","hrhorario"
7007,1806,388773,IDA,SEX,19:00:00 -0300
7007,1806,388774,IDA,SAB,19:00:00 -0300
7007,1806,388775,IDA,DOM,19:00:00 -0300
7007,1806,388776,VOLTA,SEG,17:40:00 -0300
7007,1806,388777,VOLTA,TER,17:40:00 -0300
7007,1806,388778,VOLTA,QUA,17:40:00 -0300
7007,1806,388779,VOLTA,QUI,17:40:00 -0300
7007,1806,388780,VOLTA,SEX,17:40:00 -0300
7007,1806,388781,VOLTA,SAB,17:40:00 -0300
7007,1806,388782,VOLTA,DOM,17:40:00 -0300
7007,1806,388783,VOLTA,SEG,18:20:00 -0300
7007,1806,388784,VOLTA,TER,18:20:00 -0300
7007,1806,388785,VOLTA,QUA,18:20:00 -0300
7007,1806,388786,VOLTA,QUI,18:20:00 -0300
7007,1806,388787,VOLTA,SEX,18:20:00 -0300
7007,1806,388788,VOLTA,SAB,18:20:00 -0300
7007,1806,388789,VOLTA,DOM,18:20:00 -0300
7008,1807,388790,IDA,SEG,12:40:00 -0300
7008,1807,388791,IDA,TER,12:40:00 -0300
7008,1807,388792,IDA,QUA,12:40:00 -0300
7008,1807,388793,IDA,QUI,12:40:00 -0300
7008,1807,388794,IDA,SEX,12:40:00 -0300
7008,1807,388795,VOLTA,SEG,06:00:00 -0300
7008,1807,388796,VOLTA,TER,06:00:00 -0300
7008,1807,388797,VOLTA,QUA,06:00:00 -0300
7008,1807,388798,VOLTA,QUI,06:00:00 -0300
7008,1807,388799,VOLTA,SEX,06:00:00 -0300
7009,1805,388800,IDA,SEG,11:40:00 -0300
7009,1805,388801,IDA,TER,11:40:00 -0300
7009,1805,388802,IDA,QUA,11:40:00 -0300
7009,1805,388803,IDA,QUI,11:40:00 -0300
7009,1805,388804,IDA,SEX,11:40:00 -0300
7009,1805,388805,VOLTA,SEG,06:30:00 -0300
7009,1805,388806,VOLTA,TER,06:30:00 -0300
7009,1805,388807,VOLTA,QUA,06:30:00 -0300
7009,1805,388808,VOLTA,QUI,06:30:00 -0300
7009,1805,388809,VOLTA,SEX,06:30:00 -0300
7009,1805,388810,IDA,SEG,13:00:00 -0300
7009,1805,388811,IDA,TER,13:00:00 -0300
7009,1805,388812,IDA,QUA,13:00:00 -0300
7009,1805,388813,IDA,QUI,13:00:00 -0300
7009,1805,388814,IDA,SEX,13:00:00 -0300
7009,1805,388815,VOLTA,SEG,08:30:00 -0300
7009,1805,388816,VOLTA,TER,08:30:00 -0300
7009,1805,388817,VOLTA,QUA,08:30:00 -0300
7009,1805,388818,VOLTA,QUI,08:30:00 -0300
7009,1805,388819,VOLTA,SEX,08:30:00 -0300
7009,1805,388820,IDA,SEG,15:20:00 -0300
7009,1805,388821,IDA,TER,15:20:00 -0300
7009,1805,388822,IDA,QUA,15:20:00 -0300
7009,1805,388823,IDA,QUI,15:20:00 -0300
7009,1805,388824,IDA,SEX,15:20:00 -0300
7009,1805,388825,VOLTA,SEG,09:40:00 -0300
7009,1805,388826,VOLTA,TER,09:40:00 -0300
7009,1805,388827,VOLTA,QUA,09:40:00 -0300
7009,1805,388828,VOLTA,QUI,09:40:00 -0300
7009,1805,388829,VOLTA,SEX,09:40:00 -0300
7010,1809,388830,IDA,SEG,13:40:00 -0300
7010,1809,388831,IDA,TER,13:40:00 -0300
7010,1809,388832,IDA,QUA,13:40:00 -0300
7010,1809,388833,IDA,QUI,13:40:00 -0300
7010,1809,388834,IDA,SEX,13:40:00 -0300
7010,1809,388835,VOLTA,SEG,06:00:00 -0300
7010,1809,388836,VOLTA,TER,06:00:00 -0300
7010,1809,388837,VOLTA,QUA,06:00:00 -0300
7010,1809,388838,VOLTA,QUI,06:00:00 -0300
7010,1809,388839,VOLTA,SEX,06:00:00 -0300
7011,1803,388840,IDA,SEG,12:20:00 -0300
7011,1803,388841,IDA,TER,12:20:00 -0300
7011,1803,388842,IDA,QUA,12:20:00 -0300
7011,1803,388843,IDA,QUI,12:20:00 -0300
7011,1803,388844,IDA,SEX,12:20:00 -0300
7011,1803,388845,VOLTA,SEG,07:00:00 -0300
7011,1803,388846,VOLTA,TER,07:00:00 -0300
7011,1803,388847,VOLTA,QUA,07:00:00 -0300
7011,1803,388848,VOLTA,QUI,07:00:00 -0300
7011,1803,388849,VOLTA,SEX,07:00:00 -0300
7011,1803,388850,IDA,SEG,14:40:00 -0300
7011,1803,388851,IDA,TER,14:40:00 -0300
7011,1803,388852,IDA,QUA,14:40:00 -0300
7011,1803,388853,IDA,QUI,14:40:00 -0300
7011,1803,388854,IDA,SEX,14:40:00 -0300
7011,1803,388855,VOLTA,SEG,08:00:00 -0300
7011,1803,388856,VOLTA,TER,08:00:00 -0300
7011,1803,388857,VOLTA,QUA,08:00:00 -0300
7011,1803,388858,VOLTA,QUI,08:00:00 -0300
7011,1803,388859,VOLTA,SEX,08:00:00 -0300
7012,1804,388860,IDA,SEG,14:00:00 -0300
7012,1804,388861,IDA,TER,14:00:00 -0300
7012,1804,388862,IDA,QUA,14:00:00 -0300
7012,1804,388863,IDA,QUI,14:00:00 -0300
7012,1804,388864,IDA,SEX,14:00:00 -0300
7012,1804,388865,VOLTA,SEG,06:40:00 -0300
7012,1804,388866,VOLTA,TER,06:40:00 -0300
7012,1804,388867,VOLTA,QUA,06:40:00 -0300
7012,1804,388868,VOLTA,QUI,06:40:00 -0300
7012,1804,388869,VOLTA,SEX,06:40:00 -0300
7012,1804,388870,IDA,SEG,14:40:00 -0300
7012,1804,388871,IDA,TER,14:40:00 -0300
7012,1804,388872,IDA,QUA,14:40:00 -0300
7012,1804,388873,IDA,QUI,14:40:00 -0300
7012,1804,388874,IDA,SEX,14:40:00 -0300
7012,1804,388875,VOLTA,SEG,08:00:00 -0300
7012,1804,388876,VOLTA,TER,08:00:00 -0300
7012,1804,388877,VOLTA,QUA,08:00:00 -0300
7012,1804,388878,VOLTA,QUI,08:00:00 -0300
7012,1804,388879,VOLTA,SEX,08:00:00 -0300
7013,1818,388880,IDA,SEG,06:00:00 -0300
7013,1818,388881,IDA,TER,06:00:00 -0300
7013,1818,388882,IDA,QUA,06:00:00 -0300
7013,1818,388883,IDA,QUI,06:00:00 -0300
7013,1818,388884,IDA,SEX,06:00:00 -0300
7013,1818,388885,IDA,SAB,06:00:00 -0300
7013,1818,388886,VOLTA,SEG,07:00:00 -0300
7013,1818,388887,VOLTA,TER,07:00:00 -0300
7013,1818,388888,VOLTA,QUA,07:00:00 -0300
7013,1818,388889,VOLTA,QUI,07:00:00 -0300
7013,1818,388890,VOLTA,SEX,07:00:00 -0300
7013,1818,388891,VOLTA,SAB,07:00:00 -0300
7013,1818,388892,VOLTA,DOM,08:00:00 -0300
7013,1818,388893,IDA,SEG,07:00:00 -0300
7013,1818,388894,IDA,TER,07:00:00 -0300
7013,1818,388895,IDA,QUA,07:00:00 -0300
7013,1818,388896,IDA,QUI,07:00:00 -0300
7013,1818,388897,IDA,SEX,07:00:00 -0300
7013,1818,388898,IDA,SAB,07:00:00 -0300
7013,1818,388899,IDA,DOM,07:00:00 -0300
7013,1818,388900,VOLTA,SEG,09:00:00 -0300
7013,1818,388901,VOLTA,TER,09:00:00 -0300
7013,1818,388902,VOLTA,QUA,09:00:00 -0300
7013,1818,388903,VOLTA,QUI,09:00:00 -0300
7013,1818,388904,VOLTA,SEX,09:00:00 -0300
7013,1818,388905,VOLTA,SAB,09:00:00 -0300
7013,1818,388906,IDA,SEG,08:00:00 -0300
7013,1818,388907,IDA,TER,08:00:00 -0300
7013,1818,388908,IDA,QUA,08:00:00 -0300
7013,1818,388909,IDA,QUI,08:00:00 -0300
7013,1818,388910,IDA,SEX,08:00:00 -0300
7013,1818,388911,IDA,SAB,08:00:00 -0300
7013,1818,388912,VOLTA,SEG,10:00:00 -0300
7013,1818,388913,VOLTA,TER,10:00:00 -0300
7013,1818,388914,VOLTA,QUA,10:00:00 -0300
7013,1818,388915,VOLTA,QUI,10:00:00 -0300
7013,1818,388916,VOLTA,SEX,10:00:00 -0300
7013,1818,388917,VOLTA,SAB,10:00:00 -0300
7013,1818,388918,IDA,SEG,09:00:00 -0300
7013,1818,388919,IDA,TER,09:00:00 -0300
7013,1818,388920,IDA,QUA,09:00:00 -0300
7013,1818,388921,IDA,QUI,09:00:00 -0300
7013,1818,388922,IDA,SEX,09:00:00 -0300
7013,1818,388923,IDA,SAB,09:00:00 -0300
7013,1818,388924,VOLTA,SEG,11:00:00 -0300
7013,1818,388925,VOLTA,TER,11:00:00 -0300
7013,1818,388926,VOLTA,QUA,11:00:00 -0300
7013,1818,388927,VOLTA,QUI,11:00:00 -0300
7013,1818,388928,VOLTA,SEX,11:00:00 -0300
7013,1818,388929,VOLTA,SAB,11:00:00 -0300
7013,1818,388930,IDA,SEG,10:00:00 -0300
7013,1818,388931,IDA,TER,10:00:00 -0300
7013,1818,388932,IDA,QUA,10:00:00 -0300
7013,1818,388933,IDA,QUI,10:00:00 -0300
7013,1818,388934,IDA,SEX,10:00:00 -0300
7013,1818,388935,IDA,SAB,10:00:00 -0300
7013,1818,388936,VOLTA,SEG,12:00:00 -0300
7013,1818,388937,VOLTA,TER,12:00:00 -0300
7013,1818,388938,VOLTA,QUA,12:00:00 -0300
7013,1818,388939,VOLTA,QUI,12:00:00 -0300
7013,1818,388940,VOLTA,SEX,12:00:00 -0300
7013,1818,388941,VOLTA,SAB,12:00:00 -0300
7013,1818,388942,IDA,SEG,11:30:00 -0300
7013,1818,388943,IDA,TER,11:30:00 -0300
7013,1818,388944,IDA,QUA,11:30:00 -0300
7013,1818,388945,IDA,QUI,11:30:00 -0300
7013,1818,388946,IDA,SEX,11:30:00 -0300
7013,1818,388947,IDA,SAB,11:30:00 -0300
7013,1818,388948,VOLTA,SEG,13:00:00 -0300
7013,1818,388949,VOLTA,TER,13:00:00 -0300
7013,1818,388950,VOLTA,QUA,13:00:00 -0300
7013,1818,388951,VOLTA,QUI,13:00:00 -0300
7013,1818,388952,VOLTA,SEX,13:00:00 -0300
7013,1818,388953,VOLTA,SAB,13:00:00 -0300
7013,1818,388954,IDA,SEG,13:00:00 -0300
7013,1818,388955,IDA,TER,13:00:00 -0300
7013,1818,388956,IDA,QUA,13:00:00 -0300
7013,1818,388957,IDA,QUI,13:00:00 -0300
7013,1818,388958,IDA,SEX,13:00:00 -0300
7013,1818,388959,IDA,SAB,13:00:00 -0300
7013,1818,388960,IDA,DOM,13:00:00 -0300
7013,1818,388961,VOLTA,SEG,15:00:00 -0300
7013,1818,388962,VOLTA,TER,15:00:00 -0300
7013,1818,388963,VOLTA,QUA,15:00:00 -0300
7013,1818,388964,VOLTA,QUI,15:00:00 -0300
7013,1818,388965,VOLTA,SEX,15:00:00 -0300
7013,1818,388966,VOLTA,SAB,15:00:00 -0300
7013,1818,388967,IDA,SEG,15:00:00 -0300
7013,1818,388968,IDA,TER,15:00:00 -0300
7013,1818,388969,IDA,QUA,15:00:00 -0300
7013,1818,388970,IDA,QUI,15:00:00 -0300
7013,1818,388971,IDA,SEX,15:00:00 -0300
7013,1818,388972,IDA,SAB,15:00:00 -0300
7013,1818,388973,VOLTA,SEG,16:00:00 -0300
7013,1818,388974,VOLTA,TER,16:00:00 -0300
7013,1818,388975,VOLTA,QUA,16:00:00 -0300
7013,1818,388976,VOLTA,QUI,16:00:00 -0300
7013,1818,388977,VOLTA,SEX,16:00:00 -0300
7013,1818,388978,VOLTA,SAB,16:00:00 -0300
7013,1818,388979,VOLTA,DOM,16:00:00 -0300
7013,1818,388980,IDA,SEG,17:00:00 -0300
7013,1818,388981,IDA,TER,17:00:00 -0300
7013,1818,388982,IDA,QUA,17:00:00 -0300
7013,1818,388983,IDA,QUI,17:00:00 -0300
7013,1818,388984,IDA,SEX,17:00:00 -0300
7013,1818,388985,IDA,SAB,17:00:00 -0300
7013,1818,388986,IDA,DOM,17:00:00 -0300
7013,1818,388987,VOLTA,SEG,18:00:00 -0300
7013,1818,388988,VOLTA,TER,18:00:00 -0300
7013,1818,388989,VOLTA,QUA,18:00:00 -0300
7013,1818,388990,VOLTA,QUI,18:00:00 -0300
7013,1818,388991,VOLTA,SEX,18:00:00 -0300
7013,1818,388992,VOLTA,SAB,18:00:00 -0300
7013,1818,388993,VOLTA,DOM,18:00:00 -0300
7015,1846,389108,IDA,SEG,07:00:00 -0300
7015,1846,389109,IDA,TER,07:00:00 -0300
7015,1846,389110,IDA,QUA,07:00:00 -0300
7015,1846,389111,IDA,QUI,07:00:00 -0300
